district,attraction,style,budget,travel_route,weather
Chitwan,Sauraha,budget,814.1,Chitwan to Nawalparasi,rainy
Chitwan,Sauraha,budget,701.75,Chitwan to Makwanpur,rainy
Chitwan,Sauraha,budget,872.43,Chitwan to Nawalparasi to Rupandehi,rainy
Kaski,Phewa Lake,budget,427.17,,rainy
Chitwan,Sauraha,budget,922.58,,rainy
Chitwan,Sauraha,budget,313.21,,rainy
Kaski,Phewa Lake,budget,709.06,,cold
Chitwan,Sauraha,budget,838.95,,rainy
Chitwan,Sauraha,budget,432.19,,rainy
Kathmandu,Thamel,budget,673.4,,any
Kathmandu,Thamel,budget,968.26,,rainy
Kathmandu,Thamel,budget,441.19,Kathmandu to Bhaktapur,rainy
Kaski,Phewa Lake,budget,396.12,,any
Kaski,Phewa Lake,budget,610.77,Kaski to Lamjung to Manang,cold
Kaski,Phewa Lake,budget,439.05,,cold
Kathmandu,Thamel,budget,978.47,,rainy
Chitwan,Sauraha,budget,414.02,Chitwan to Gorkha to Syangja to Gulmi,rainy
Kathmandu,Thamel,budget,989.61,,cold
Kaski,Phewa Lake,budget,961.43,,sunny
Kaski,Phewa Lake,budget,973.1,,rainy
Kaski,Phewa Lake,budget,603.9,,any
Chitwan,Sauraha,budget,755.3,Chitwan to Gorkha,any
Chitwan,Sauraha,budget,331.76,,any
Kathmandu,Thamel,budget,663.04,,rainy
Kathmandu,Thamel,budget,717.34,Kathmandu to Dhading to Nuwakot,rainy
Kathmandu,Thamel,budget,420.69,Kathmandu to Bhaktapur to Sindhupalchok to Nuwakot,any
Kathmandu,Thamel,budget,648.29,,rainy
Kaski,Phewa Lake,budget,319.93,,sunny
Kaski,Phewa Lake,budget,814.47,,rainy
Chitwan,Sauraha,budget,833.75,,cold
Kathmandu,Thamel,budget,544.07,,rainy
Kathmandu,Thamel,budget,978.11,,rainy
Chitwan,Sauraha,budget,394.08,,warm
Kaski,Phewa Lake,budget,628.64,,any
Chitwan,Sauraha,budget,969.83,,warm
Kaski,Phewa Lake,budget,388.08,Kaski to Tanahun,rainy
Chitwan,Sauraha,budget,820.23,,cold
Chitwan,Sauraha,budget,474.85,Chitwan to Gorkha to Dhading,rainy
Chitwan,Sauraha,budget,831.93,,rainy
Chitwan,Sauraha,budget,705.56,,any
Kaski,Phewa Lake,budget,855.94,,any
Chitwan,Sauraha,budget,884.77,,rainy
Kathmandu,Thamel,budget,638.69,,rainy
Chitwan,Sauraha,budget,616.47,,rainy
Chitwan,Sauraha,budget,382.47,Chitwan to Gorkha to Tanahun,rainy
Kaski,Phewa Lake,budget,864.89,,rainy
Chitwan,Sauraha,budget,767.61,,rainy
Kathmandu,Thamel,budget,598.56,,sunny
Kathmandu,Thamel,budget,982.56,,any
Chitwan,Sauraha,budget,388.41,,rainy
Chitwan,Sauraha,budget,976.4,,any
Chitwan,Sauraha,budget,399.2,Chitwan to Gorkha,warm
Chitwan,Sauraha,budget,694.02,,rainy
Chitwan,Sauraha,budget,677.62,Chitwan to Gorkha,warm
Kathmandu,Thamel,budget,776.28,Kathmandu to Bhaktapur,warm
Chitwan,Sauraha,budget,900.81,Chitwan to Gorkha to Dhading,rainy
Chitwan,Sauraha,budget,925.62,,rainy
Kaski,Phewa Lake,budget,352.41,Kaski to Lamjung,cold
Kathmandu,Thamel,budget,398.21,,rainy
Kathmandu,Thamel,budget,850.42,,warm
Kathmandu,Thamel,budget,884.03,Kathmandu to Bhaktapur to Sindhupalchok,sunny
Kathmandu,Thamel,budget,444.08,,rainy
Kaski,Phewa Lake,budget,745.73,,rainy
Chitwan,Sauraha,budget,462.53,Chitwan to Dhading to Gorkha to Lamjung,rainy
Chitwan,Sauraha,budget,912.66,,any
Kaski,Phewa Lake,budget,738.83,,rainy
Chitwan,Sauraha,budget,830.92,,rainy
Chitwan,Sauraha,budget,468.9,,any
Chitwan,Sauraha,budget,595.17,Chitwan to Gorkha to Syangja,warm
Chitwan,Sauraha,budget,593.75,Chitwan to Makwanpur,any
Kathmandu,Thamel,budget,469.92,,rainy
Chitwan,Sauraha,budget,372.78,Chitwan to Dhading to Nuwakot to Kathmandu,cold
Chitwan,Sauraha,budget,713.24,Chitwan to Makwanpur to Rautahat to Parsa,cold
Kaski,Phewa Lake,budget,870.7,,cold
Chitwan,Sauraha,budget,896.56,,rainy
Kaski,Phewa Lake,budget,768.35,,sunny
Kathmandu,Thamel,budget,369.16,Kathmandu to Nuwakot to Rasuwa to Sindhupalchok,any
Chitwan,Sauraha,budget,546.66,,any
Kathmandu,Thamel,budget,620.74,,any
Kathmandu,Thamel,budget,690.93,,any
Chitwan,Sauraha,budget,827.32,,cold
Kaski,Phewa Lake,budget,533.63,Kaski to Manang,warm
Kaski,Phewa Lake,budget,939.92,,sunny
Chitwan,Sauraha,budget,747.63,,cold
Chitwan,Sauraha,budget,545.42,Chitwan to Nawalparasi,any
Kaski,Phewa Lake,budget,378.04,Kaski to Manang,rainy
Chitwan,Sauraha,budget,578.58,,warm
Kathmandu,Thamel,budget,896.55,,rainy
Kaski,Phewa Lake,budget,393.12,Kaski to Manang,rainy
Chitwan,Sauraha,budget,526.69,Chitwan to Nawalparasi,rainy
Chitwan,Sauraha,budget,318.45,Chitwan to Nawalparasi,rainy
Kathmandu,Thamel,budget,753.53,,rainy
Kathmandu,Thamel,budget,900.27,,rainy
Chitwan,Sauraha,budget,588.63,,any
Chitwan,Sauraha,budget,822.75,Chitwan to Dhading to Rasuwa,cold
Kaski,Phewa Lake,budget,524.11,Kaski to Manang,rainy
Chitwan,Sauraha,budget,856.89,,rainy
Chitwan,Sauraha,budget,674.75,Chitwan to Gorkha,rainy
Chitwan,Sauraha,budget,625.7,,rainy
Chitwan,Sauraha,budget,647.99,Chitwan to Makwanpur,rainy
Chitwan,Sauraha,budget,691.3,,sunny
Chitwan,Sauraha,budget,344.64,Chitwan to Gorkha to Lamjung,rainy
Chitwan,Sauraha,budget,601.58,,cold
Kaski,Phewa Lake,budget,763.26,Kaski to Manang,rainy
Kathmandu,Thamel,budget,400.96,Kathmandu to Lalitpur to Bhaktapur,rainy
Chitwan,Sauraha,budget,711.21,,cold
Kathmandu,Thamel,budget,811.27,,cold
Chitwan,Sauraha,budget,885.02,Chitwan to Makwanpur to Nawalparasi to Palpa,sunny
Kathmandu,Thamel,budget,701.8,,any
Kaski,Phewa Lake,budget,787.49,,rainy
Kathmandu,Thamel,budget,548.61,Kathmandu to Lalitpur to Bhaktapur,cold
Kaski,Phewa Lake,budget,440.43,,rainy
Kathmandu,Thamel,budget,616.21,,sunny
Chitwan,Sauraha,budget,987.41,,sunny
Kathmandu,Thamel,budget,974.52,,rainy
Kaski,Phewa Lake,budget,319.36,,any
Kathmandu,Thamel,budget,431.94,,warm
Kathmandu,Thamel,budget,367.88,,warm
Kaski,Phewa Lake,budget,924.01,Kaski to Tanahun,cold
Kaski,Phewa Lake,budget,735.46,Kaski to Manang,any
Kaski,Phewa Lake,budget,544.34,,rainy
Kathmandu,Thamel,budget,435.21,,rainy
Kaski,Phewa Lake,budget,950.02,,rainy
Kaski,Phewa Lake,budget,768.09,,sunny
Kathmandu,Thamel,budget,972.27,Kathmandu to Dhading,rainy
Kathmandu,Thamel,budget,867.64,Kathmandu to Lalitpur to Bhaktapur to Sindhupalchok,any
Chitwan,Sauraha,budget,829.85,,warm
Kathmandu,Thamel,budget,834.47,,rainy
Kaski,Phewa Lake,budget,563.95,,rainy
Kaski,Phewa Lake,budget,726.76,Kaski to Lamjung to Tanahun,rainy
Kathmandu,Thamel,budget,514.98,Kathmandu to Bhaktapur to Sindhupalchok to Nuwakot,rainy
Chitwan,Sauraha,budget,333.05,,rainy
Chitwan,Sauraha,budget,876.62,,warm
Chitwan,Sauraha,budget,656.12,,warm
Kathmandu,Thamel,budget,620.06,,rainy
Kaski,Phewa Lake,budget,799.82,,rainy
Chitwan,Sauraha,budget,331.66,Chitwan to Gorkha,rainy
Kathmandu,Thamel,budget,761.72,,any
Kathmandu,Thamel,budget,878.6,Kathmandu to Bhaktapur,rainy
Kathmandu,Thamel,budget,735.23,Kathmandu to Sindhupalchok to Bhaktapur to Lalitpur,rainy
Kathmandu,Thamel,budget,586.44,Kathmandu to Dhading to Gorkha,sunny
Kaski,Phewa Lake,budget,720.09,,warm
Chitwan,Sauraha,budget,390.22,,warm
Kathmandu,Thamel,budget,411.25,,cold
Chitwan,Sauraha,budget,417.16,Chitwan to Dhading to Rasuwa to Sindhupalchok,cold
Kaski,Phewa Lake,budget,898.86,Kaski to Tanahun to Lamjung,rainy
Chitwan,Sauraha,budget,440.55,,rainy
Kaski,Phewa Lake,budget,377.98,,sunny
Kathmandu,Thamel,budget,469.23,,warm
Kathmandu,Thamel,budget,717.9,Kathmandu to Bhaktapur,sunny
Chitwan,Sauraha,budget,330.63,,sunny
Kaski,Phewa Lake,budget,545.08,,rainy
Kaski,Phewa Lake,budget,407.17,,rainy
Kathmandu,Thamel,budget,535.12,,cold
Kaski,Phewa Lake,budget,890.4,,warm
Kathmandu,Thamel,budget,682.99,,rainy
Kathmandu,Thamel,budget,662.63,Kathmandu to Dhading to Rasuwa to Langtang,sunny
Kathmandu,Thamel,budget,779.02,,sunny
Kathmandu,Thamel,budget,838.09,,rainy
Chitwan,Sauraha,budget,694.55,,sunny
Kaski,Phewa Lake,budget,497.73,,warm
Chitwan,Sauraha,budget,778.02,,warm
Chitwan,Sauraha,budget,635.39,,any
Kaski,Phewa Lake,budget,401.09,,warm
Kaski,Phewa Lake,budget,917.36,,rainy
Kaski,Phewa Lake,budget,329.79,Kaski to Myagdi,rainy
Kathmandu,Thamel,budget,445.67,Kathmandu to Nuwakot to Rasuwa,rainy
Kaski,Phewa Lake,budget,554.49,,rainy
Chitwan,Sauraha,budget,472.2,,cold
Chitwan,Sauraha,budget,930.25,Chitwan to Gorkha to Syangja,rainy
Kathmandu,Thamel,budget,398.93,Kathmandu to Sindhupalchok to Dolakha,rainy
Kathmandu,Thamel,budget,452.02,,rainy
Kaski,Phewa Lake,budget,426.22,Kaski to Tanahun to Syangja,rainy
Chitwan,Sauraha,budget,748.87,Chitwan to Dhading,rainy
Kaski,Phewa Lake,budget,471.99,Kaski to Manang,cold
Chitwan,Sauraha,budget,773.33,,cold
Kathmandu,Thamel,budget,532.06,Kathmandu to Bhaktapur to Lalitpur,sunny
Kathmandu,Thamel,budget,888.47,Kathmandu to Nuwakot to Rasuwa to Sindhupalchok,rainy
Chitwan,Sauraha,budget,502.82,,rainy
Kathmandu,Thamel,budget,590.63,,rainy
Kathmandu,Thamel,budget,789.9,Kathmandu to Lalitpur,rainy
Chitwan,Sauraha,budget,936.43,,sunny
Kaski,Phewa Lake,budget,565.56,,rainy
Chitwan,Sauraha,budget,951.66,,rainy
Kathmandu,Thamel,budget,962.62,Kathmandu to Dhading,rainy
Kathmandu,Thamel,budget,394.46,,rainy
Kathmandu,Thamel,budget,995.03,Kathmandu to Dhading to Rasuwa to Sindhupalchok,cold
Kathmandu,Thamel,budget,721.97,,cold
Chitwan,Sauraha,budget,994.19,,rainy
Chitwan,Sauraha,budget,987.43,,any
Kaski,Phewa Lake,budget,336.41,,rainy
Kaski,Phewa Lake,budget,536.26,Kaski to Myagdi to Parbat to Syangja,rainy
Chitwan,Sauraha,budget,391.45,,any
Chitwan,Sauraha,budget,511.9,,rainy
Kaski,Phewa Lake,budget,786.7,,rainy
Kaski,Phewa Lake,budget,585.04,Kaski to Manang,rainy
Chitwan,Sauraha,budget,642.18,Chitwan to Makwanpur to Nawalparasi to Rupandehi,rainy
Kathmandu,Thamel,budget,867.53,,any
Kathmandu,Thamel,budget,561.37,Kathmandu to Lalitpur,rainy
Kathmandu,Thamel,budget,815.55,Kathmandu to Bhaktapur,rainy
Chitwan,Sauraha,budget,741.7,Chitwan to Makwanpur to Rautahat to Parsa,rainy
Kathmandu,Thamel,budget,429.9,,cold
Kaski,Phewa Lake,budget,447.15,,cold
Chitwan,Sauraha,budget,633.23,Chitwan to Nawalparasi to Gulmi to Pyuthan,rainy
Chitwan,Sauraha,budget,609.76,,rainy
Kathmandu,Thamel,budget,400.72,Kathmandu to Lalitpur to Bhaktapur to Sindhupalchok,rainy
Kathmandu,Thamel,budget,829.4,,rainy
Chitwan,Sauraha,budget,721.09,,rainy
Kaski,Phewa Lake,budget,877.13,,cold
Chitwan,Sauraha,budget,497.01,,rainy
Kaski,Phewa Lake,budget,931.89,Kaski to Lamjung to Manang,sunny
Kathmandu,Thamel,budget,522.88,Kathmandu to Sindhupalchok to Bhaktapur to Lalitpur,cold
Chitwan,Sauraha,budget,809.0,,rainy
Kaski,Phewa Lake,budget,649.79,,cold
Chitwan,Sauraha,budget,459.68,Chitwan to Dhading to Nuwakot,rainy
Kaski,Phewa Lake,budget,624.54,,any
Kathmandu,Thamel,budget,593.72,,sunny
Kaski,Phewa Lake,budget,992.83,,warm
Kathmandu,Thamel,budget,853.96,,warm
Chitwan,Sauraha,budget,451.9,,sunny
Kaski,Phewa Lake,budget,438.43,,rainy
Chitwan,Sauraha,budget,459.42,Chitwan to Dhading to Gorkha,rainy
Kaski,Phewa Lake,budget,547.36,Kaski to Myagdi to Mustang to Muktinath (Manang),rainy
Kathmandu,Thamel,budget,862.54,,rainy
Kaski,Phewa Lake,budget,537.01,,rainy
Chitwan,Sauraha,budget,719.38,,rainy
Kaski,Phewa Lake,budget,558.7,,any
Kaski,Phewa Lake,budget,591.9,,rainy
Kathmandu,Thamel,budget,743.71,,any
Kaski,Phewa Lake,budget,704.05,,rainy
Kathmandu,Thamel,budget,847.12,Kathmandu to Sindhupalchok to Kavrepalanchok to Ramechhap,rainy
Kathmandu,Thamel,budget,694.31,,any
Kathmandu,Thamel,budget,825.13,,warm
Kaski,Phewa Lake,budget,721.82,Kaski to Lamjung to Manang,any
Kaski,Phewa Lake,budget,853.9,,rainy
Kathmandu,Thamel,budget,472.61,,warm
Chitwan,Sauraha,budget,693.31,Chitwan to Gorkha to Tanahun,cold
Chitwan,Sauraha,budget,970.41,,rainy
Chitwan,Sauraha,budget,814.85,Chitwan to Nawalparasi to Gulmi,rainy
Kaski,Phewa Lake,budget,508.72,,rainy
Kathmandu,Thamel,budget,355.1,Kathmandu to Nuwakot,rainy
Chitwan,Sauraha,budget,688.69,Chitwan to Gorkha,rainy
Kaski,Phewa Lake,budget,438.45,,warm
Chitwan,Sauraha,budget,525.96,,sunny
Kaski,Phewa Lake,budget,558.18,Kaski to Lamjung to Manang,rainy
Chitwan,Sauraha,budget,576.88,Chitwan to Gorkha,rainy
Kaski,Phewa Lake,budget,918.28,Kaski to Myagdi,sunny
Kathmandu,Thamel,budget,397.94,,rainy
Chitwan,Sauraha,budget,364.3,,rainy
Kathmandu,Thamel,budget,540.5,,sunny
Kathmandu,Thamel,budget,749.27,,rainy
Kathmandu,Thamel,budget,613.95,Kathmandu to Bhaktapur to Lalitpur,rainy
Kathmandu,Thamel,budget,336.74,,any
Kathmandu,Thamel,budget,453.3,,rainy
Kathmandu,Thamel,budget,526.07,Kathmandu to Sindhupalchok,cold
Kaski,Phewa Lake,budget,316.46,,cold
Kathmandu,Thamel,budget,440.09,,sunny
Kaski,Phewa Lake,budget,544.57,Kaski to Tanahun to Chitwan to Nawalparasi,sunny
Kathmandu,Thamel,budget,940.64,,cold
Chitwan,Sauraha,budget,657.62,,rainy
Chitwan,Sauraha,budget,534.14,,rainy
Kathmandu,Thamel,budget,616.15,Kathmandu to Sindhupalchok to Dolakha to Ramechhap,rainy
Kathmandu,Thamel,budget,329.16,Kathmandu to Bhaktapur,any
Chitwan,Sauraha,budget,883.05,Chitwan to Gorkha to Dhading,warm
Kathmandu,Thamel,budget,696.79,,any
Chitwan,Sauraha,budget,516.93,,rainy
Kaski,Phewa Lake,budget,649.71,Kaski to Myagdi to Baglung,cold
Kaski,Phewa Lake,budget,692.58,Kaski to Lamjung,rainy
Chitwan,Sauraha,budget,919.09,,any
Kathmandu,Thamel,budget,951.11,,rainy
Chitwan,Sauraha,budget,368.06,,rainy
Kaski,Phewa Lake,budget,353.27,,rainy
Kathmandu,Thamel,budget,511.44,Kathmandu to Lalitpur,rainy
Chitwan,Sauraha,budget,916.2,,any
Kathmandu,Thamel,budget,807.37,Kathmandu to Sindhupalchok to Langtang to Nuwakot,rainy
Kathmandu,Thamel,budget,344.3,,warm
Kaski,Phewa Lake,budget,320.93,Kaski to Tanahun to Lamjung,rainy
Chitwan,Sauraha,budget,759.63,Chitwan to Gorkha to Dhading to Kathmandu,any
Kaski,Phewa Lake,budget,769.87,,any
Chitwan,Sauraha,budget,867.25,,any
Chitwan,Sauraha,budget,691.26,Chitwan to Makwanpur to Nawalparasi to Gulmi,cold
Kathmandu,Thamel,budget,619.38,,rainy
Chitwan,Sauraha,budget,808.34,,rainy
Chitwan,Sauraha,budget,584.9,,rainy
Kaski,Phewa Lake,budget,403.34,Kaski to Myagdi to Mustang to Jumla,warm
Kathmandu,Thamel,budget,919.34,,rainy
Kaski,Phewa Lake,budget,827.59,,any
Kathmandu,Thamel,budget,654.45,,any
Chitwan,Sauraha,budget,678.15,,any
Chitwan,Sauraha,budget,984.06,Chitwan to Makwanpur to Lalitpur,cold
Kathmandu,Thamel,budget,663.7,,rainy
Chitwan,Sauraha,budget,817.8,Chitwan to Makwanpur to Nawalparasi,warm
Chitwan,Sauraha,budget,683.92,Chitwan to Nawalparasi to Rupandehi,rainy
Kaski,Phewa Lake,budget,781.46,,any
Chitwan,Sauraha,budget,408.99,Chitwan to Makwanpur to Rautahat to Dhanusha,warm
Kathmandu,Thamel,budget,786.46,Kathmandu to Bhaktapur to Lalitpur,rainy
Kathmandu,Thamel,budget,311.35,,rainy
Chitwan,Sauraha,budget,346.92,,rainy
Kaski,Phewa Lake,budget,307.4,,rainy
Kaski,Phewa Lake,budget,512.65,Kaski to Lamjung to Manang,warm
Kathmandu,Thamel,budget,523.74,Kathmandu to Sindhupalchok to Nuwakot,sunny
Kaski,Phewa Lake,budget,964.39,Kaski to Lamjung to Manang,warm
Kathmandu,Thamel,budget,476.51,,sunny
Chitwan,Sauraha,budget,618.28,,cold
Kaski,Phewa Lake,budget,526.01,Kaski to Tanahun to Palpa,rainy
Kaski,Phewa Lake,budget,307.21,Kaski to Myagdi,rainy
Kathmandu,Thamel,budget,624.23,,warm
Chitwan,Sauraha,budget,477.24,,rainy
Kathmandu,Thamel,budget,505.37,,rainy
Kaski,Phewa Lake,budget,376.77,Kaski to Myagdi,rainy
Kaski,Phewa Lake,budget,303.98,Kaski to Myagdi,cold
Kathmandu,Thamel,budget,427.87,Kathmandu to Bhaktapur to Sindhupalchok,rainy
Chitwan,Sauraha,budget,371.08,Chitwan to Makwanpur to Lalitpur to Bhaktapur,rainy
Kaski,Phewa Lake,budget,314.38,Kaski to Lamjung to Manang,rainy
Kaski,Phewa Lake,budget,495.23,,rainy
Kathmandu,Thamel,budget,483.94,,any
Kaski,Phewa Lake,budget,934.63,,any
Kathmandu,Thamel,budget,699.29,,warm
Chitwan,Sauraha,budget,690.16,Chitwan to Nawalparasi to Rupandehi,rainy
Kaski,Phewa Lake,budget,691.77,,rainy
Kathmandu,Thamel,budget,307.84,Kathmandu to Sindhupalchok,sunny
Chitwan,Sauraha,budget,709.9,Chitwan to Gorkha,sunny
Kathmandu,Thamel,budget,860.86,,rainy
Kaski,Phewa Lake,budget,369.33,,rainy
Chitwan,Sauraha,budget,402.28,,rainy
Kathmandu,Thamel,budget,659.37,,any
Kathmandu,Thamel,budget,887.84,,rainy
Kaski,Phewa Lake,budget,341.77,Kaski to Lamjung to Syangja,rainy
Chitwan,Sauraha,budget,573.54,Chitwan to Nawalparasi to Gulmi to Rolpa,warm
Chitwan,Sauraha,budget,468.94,,rainy
Kathmandu,Thamel,budget,719.88,,rainy
Chitwan,Sauraha,budget,841.04,,sunny
Kaski,Phewa Lake,budget,755.12,,any
Chitwan,Sauraha,budget,943.53,,any
Kaski,Phewa Lake,budget,830.19,,any
Chitwan,Sauraha,budget,628.53,,sunny
Kaski,Phewa Lake,budget,476.12,,rainy
Kaski,Phewa Lake,budget,519.14,Kaski to Tanahun to Syangja to Parbat,any
Kathmandu,Thamel,budget,662.37,,rainy
Kaski,Phewa Lake,budget,837.82,,any
Chitwan,Sauraha,budget,432.98,Chitwan to Gorkha to Tanahun to Palpa,warm
Chitwan,Sauraha,budget,382.05,,cold
Kathmandu,Thamel,budget,718.69,,warm
Chitwan,Sauraha,budget,562.5,Chitwan to Dhading to Rasuwa to Langtang,rainy
Kaski,Phewa Lake,budget,476.77,Kaski to Lamjung to Tanahun,any
Kathmandu,Thamel,budget,949.46,Kathmandu to Dhading to Nuwakot to Rasuwa,rainy
Kaski,Phewa Lake,budget,987.1,,warm
Kathmandu,Thamel,budget,606.02,,rainy
Kathmandu,Thamel,budget,832.09,,any
Kathmandu,Thamel,budget,375.22,,rainy
Kathmandu,Thamel,budget,443.42,,any
Kathmandu,Thamel,budget,536.32,,warm
Kaski,Phewa Lake,budget,461.34,,warm
Kaski,Phewa Lake,budget,888.54,,rainy
Kaski,Phewa Lake,budget,420.29,,any
Chitwan,Sauraha,budget,968.13,Chitwan to Dhading to Kathmandu,sunny
Kathmandu,Thamel,budget,891.77,,rainy
Kathmandu,Thamel,budget,942.34,,rainy
Chitwan,Sauraha,budget,604.64,Chitwan to Nawalparasi to Palpa,any
Kathmandu,Thamel,budget,585.97,,rainy
Kaski,Phewa Lake,budget,316.12,,cold
Chitwan,Sauraha,budget,605.66,,any
Kathmandu,Thamel,budget,655.29,,rainy
Kathmandu,Thamel,budget,401.16,Kathmandu to Nuwakot to Dhading to Gorkha,sunny
Kathmandu,Thamel,budget,519.95,,rainy
Kaski,Phewa Lake,budget,565.61,Kaski to Tanahun to Lamjung to Gorkha,any
Chitwan,Sauraha,budget,572.21,,rainy
Kaski,Phewa Lake,budget,806.92,,any
Kaski,Phewa Lake,budget,459.99,Kaski to Tanahun to Gorkha,rainy
Kathmandu,Thamel,budget,892.13,,any
Kathmandu,Thamel,budget,794.97,,rainy
Chitwan,Sauraha,budget,475.27,,rainy
Kathmandu,Thamel,budget,399.14,Kathmandu to Bhaktapur,rainy
Kaski,Phewa Lake,budget,416.64,Kaski to Lamjung to Syangja to Parbat,sunny
Chitwan,Sauraha,budget,959.41,,any
Kathmandu,Thamel,budget,347.17,Kathmandu to Sindhupalchok,rainy
Kathmandu,Thamel,budget,687.41,,rainy
Chitwan,Sauraha,budget,471.95,Chitwan to Makwanpur to Rautahat,sunny
Kaski,Phewa Lake,budget,416.9,Kaski to Manang,rainy
Chitwan,Sauraha,budget,623.68,Chitwan to Nawalparasi to Palpa to Arghakhanchi,rainy
Chitwan,Sauraha,budget,346.95,,rainy
Kaski,Phewa Lake,budget,774.27,,rainy
Kaski,Phewa Lake,budget,973.47,,any
Chitwan,Sauraha,budget,826.14,,rainy
Chitwan,Sauraha,budget,388.37,,sunny
Kaski,Phewa Lake,budget,380.88,,any
Kaski,Phewa Lake,budget,316.71,Kaski to Myagdi,rainy
Chitwan,Sauraha,budget,614.96,Chitwan to Gorkha,rainy
Kaski,Phewa Lake,budget,399.62,Kaski to Myagdi to Manang,any
Kaski,Phewa Lake,budget,560.1,,rainy
Kathmandu,Thamel,budget,963.41,Kathmandu to Dhading to Chitwan,any
Kaski,Phewa Lake,budget,936.57,Kaski to Manang,any
Kaski,Phewa Lake,budget,328.37,Kaski to Manang,any
Kaski,Phewa Lake,budget,517.24,,rainy
Kathmandu,Thamel,budget,821.04,,rainy
Chitwan,Sauraha,budget,741.47,,rainy
Kaski,Phewa Lake,budget,542.85,,rainy
